Individual,Country,Height (ft),Floors,Year Built,Floor Space (million sq ft),Time to Build (yrs)
"John Hancock Center, Chicago IL",USA,1128,108,1970,2.8,5
"Q1 Tower, Gold Coast City",Australia,1058,80,2005,2.3,3
"Freedom Tower, New York NY",USA,1776,105,2013,2.6,7
"Jin Mao Tower, Shanghai",China,1380,88,1999,3,5
"Trump International Hotel and Tower, Chicago IL",USA,1389,70,2009,2.6,4
"Tokyo City Hall, Tower 1, Tokyo",Japan,799,50,1991,2.1,3
"Torre Mayor, Mexico City",Mexico,738,55,2003,1.7,4
"Woolworth Building, New York NY",USA,792,57,1913,1.3,3
"Kingdom Centre, Riyadh",United Arab Emirates,992,41,2002,2,3
"Transamerica Pyramid, San Francisco CA",USA,853,48,1972,0.5,3
"Trump World Tower, New York NY",USA,861,72,2001,0.9,2
"The Gherkin, London",United Kingdom,590,41,2003,0.7,2
"Houses of Parliament, London",United Kingdom,323,9,1888,4.6,48
"Petronas Twin Towers, Kuala Lumpur",Malaysia,1463,88,1998,4.3,6
"Bank of China Tower, Hong Kong",China,1205,70,1990,1.5,5
"Shanghai World Financial Center, Shanghai",China,1614,101,2008,4.1,11
"World Trade Center, New York NY",USA,1368,110,1973,4.3,3
"Bank of America Tower, New York NY",USA,1200,54,2009,2.1,5
"Empire State Building, New York NY",USA,1250,102,1931,2.8,1
"Willis Tower, Chicago IL",USA,1451,108,1974,4.6,3
"Burj Al Arab, Dubai",United Arab Emirates,1053,60,1999,1.2,5
"Chrysler Building, New York NY",USA,1046,77,1930,1.2,2
"International Commercer Centre, Hong Kong",China,1558,108,2010,2.8,8
"One Canada Square, London",United Kingdom,771,55,1991,1.2,3
"21st Century Tower, Dubai",United Arab Emirates,883,55,2003,0.9,2
"The Shard, London",United Kingdom,1017,72,2012,1.3,3
"Taipei 101, Taipei",Taiwan,1667,101,2004,4.4,5
"Leaning Tower of Pisa, Pisa",Italy,186,8,1373,1,177
"Burj Khalifa, Dubai",United Arab Emirates,2717,163,2010,3.6,6
"Al Faisaliyah Center, Riyadh",United Arab Emirates,876,30,2000,0.4,3